"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out","pred","mis","crime_factor","age_factor","race_factor","gender_factor","score_factor"
"60",57,"F","Hispanic","Greater than 45","Low","Male",1,0,1,0,0,"2013-10-25 09:20:19","2013-11-14 02:05:31",0,1,"F","Greater than 45","Hispanic","Male","LowScore"
"61",45,"F","Caucasian","Greater than 45","Low","Male",2,-1,3,0,0,"2013-01-31 04:11:55","2014-01-25 03:27:03",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"62",23,"M","African-American","Less than 25","Low","Female",1,-1,4,0,0,"2013-08-20 11:57:06","2013-08-21 07:50:16",0,1,"M","Less than 25","African-American","Female","LowScore"
"63",50,"F","Caucasian","Greater than 45","Low","Male",1,-4,1,0,0,"2013-09-12 09:32:07","2013-09-14 03:06:18",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"64",37,"M","Caucasian","25 - 45","Low","Female",0,-1,3,0,0,"2013-11-07 02:53:47","2013-11-07 09:00:57",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"65",44,"M","Caucasian","25 - 45","Low","Male",4,0,4,0,0,"2013-01-06 04:51:37","2013-01-07 10:41:46",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"66",27,"M","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-03-25 12:25:41","2013-03-28 05:58:56",0,1,"M","25 - 45","African-American","Male","LowScore"
"67",38,"F","African-American","25 - 45","Low","Male",2,-1,1,0,0,"2013-03-19 04:21:06","2013-03-20 09:34:48",0,1,"F","25 - 45","African-American","Male","LowScore"
"68",28,"M","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-10-30 07:57:19","2013-10-31 01:45:23",0,1,"M","25 - 45","African-American","Male","HighScore"
"69",51,"M","Caucasian","Greater than 45","Low","Male",0,-1,2,0,0,"2013-10-30 11:27:14","2013-10-31 08:46:16",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"70",48,"F","African-American","Greater than 45","Low","Male",0,-1,1,0,0,"2013-01-12 06:40:25","2013-01-13 09:03:52",0,1,"F","Greater than 45","African-American","Male","LowScore"
"71",41,"M","African-American","25 - 45","Low","Male",0,0,1,0,0,"2014-01-25 09:44:01","2014-01-26 06:31:19",0,1,"M","25 - 45","African-American","Male","LowScore"
"72",52,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-05-15 11:15:03","2013-05-16 08:50:44",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"73",52,"F","African-American","Greater than 45","Low","Male",0,-1,4,0,0,"2014-02-03 03:50:35","2014-02-17 02:20:23",0,1,"F","Greater than 45","African-American","Male","LowScore"
"74",28,"F","Caucasian","25 - 45","Low","Male",1,-3,1,0,0,"2013-05-14 04:20:05","2013-05-17 10:53:34",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"75",28,"F","Caucasian","25 - 45","Medium","Male",1,0,5,0,0,"2013-09-27 04:35:20","2013-10-03 08:39:37",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"76",22,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2013-02-21 03:42:13","2013-02-22 01:52:11",0,1,"F","Less than 25","African-American","Male","LowScore"
"77",30,"F","African-American","25 - 45","Low","Male",4,0,2,0,0,"2013-03-05 04:44:39","2013-03-05 01:41:22",0,1,"F","25 - 45","African-American","Male","LowScore"
"78",25,"F","Hispanic","25 - 45","Low","Male",4,0,4,0,0,"2013-11-03 02:47:28","2013-11-04 07:59:32",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"79",53,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-01-15 05:53:17","2013-01-16 07:01:06",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"80",25,"F","African-American","25 - 45","Low","Male",0,0,3,0,0,"2013-09-06 01:00:30","2013-09-06 09:12:00",0,1,"F","25 - 45","African-American","Male","LowScore"
"81",37,"M","Other","25 - 45","Low","Female",0,-1,1,0,0,"2013-12-08 01:55:28","2013-12-09 02:00:59",0,1,"M","25 - 45","Other","Female","LowScore"
"82",40,"F","Other","25 - 45","Low","Female",3,-1,2,0,0,"2013-10-22 09:03:15","2013-10-23 09:05:27",0,1,"F","25 - 45","Other","Female","LowScore"
"83",31,"M","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2013-03-08 09:57:50","2013-03-09 07:56:27",0,1,"M","25 - 45","Hispanic","Female","LowScore"
"84",29,"M","African-American","25 - 45","Low","Male",1,-1,3,0,0,"2014-03-31 02:14:12","2014-04-01 01:22:49",0,1,"M","25 - 45","African-American","Male","LowScore"
"85",39,"F","Other","25 - 45","Low","Male",0,-1,1,0,0,"2013-03-11 10:17:29","2013-03-12 07:59:36",0,1,"F","25 - 45","Other","Male","LowScore"
"86",27,"F","African-American","25 - 45","Low","Male",4,-1,4,0,0,"2013-08-06 09:00:30","2013-08-07 08:23:22",0,1,"F","25 - 45","African-American","Male","LowScore"
"87",37,"F","African-American","25 - 45","Low","Female",2,0,1,0,0,"2013-12-03 12:48:34","2013-12-04 07:43:54",0,1,"F","25 - 45","African-American","Female","LowScore"
"88",52,"F","African-American","Greater than 45","Low","Female",0,-1,1,0,0,"2013-08-01 10:03:28","2013-08-02 02:00:46",0,1,"F","Greater than 45","African-American","Female","LowScore"
"89",48,"F","African-American","Greater than 45","Low","Female",0,-1,2,0,0,"2013-11-12 10:24:10","2013-11-14 06:47:41",0,1,"F","Greater than 45","African-American","Female","LowScore"
"90",25,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0,"2013-04-20 02:39:55","2013-04-20 07:15:12",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"91",22,"F","Caucasian","Less than 25","Low","Female",1,-1,3,0,0,"2013-12-30 10:48:07","2013-12-31 09:49:50",0,1,"F","Less than 25","Caucasian","Female","LowScore"
"92",41,"M","African-American","25 - 45","Low","Female",2,-1,3,0,0,"2013-08-04 07:42:27","2013-08-05 06:31:46",0,1,"M","25 - 45","African-American","Female","LowScore"
"93",25,"F","Other","25 - 45","Low","Female",0,-1,2,0,0,"2014-01-28 10:39:22","2014-01-29 08:33:42",0,1,"F","25 - 45","Other","Female","LowScore"
"94",43,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0,"2013-04-04 07:55:57","2013-05-15 08:09:02",0,1,"F","25 - 45","African-American","Male","LowScore"
"95",37,"F","Caucasian","25 - 45","Low","Male",3,-4,1,0,0,"2014-03-01 11:39:37","2014-03-04 09:02:34",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"96",70,"M","Caucasian","Greater than 45","Low","Male",1,-13,1,0,0,"2013-04-05 11:19:07","2013-04-18 10:45:47",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"97",46,"F","Caucasian","Greater than 45","Low","Male",3,-1,4,0,0,"2013-04-30 04:31:44","2013-05-14 09:41:21",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"98",34,"M","Caucasian","25 - 45","Low","Male",5,-1,4,0,0,"2014-01-19 03:20:12","2014-01-20 07:58:57",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"99",34,"M","African-American","25 - 45","Low","Male",5,-1,4,0,0,"2013-12-03 09:45:00","2013-12-04 08:51:32",0,1,"M","25 - 45","African-American","Male","LowScore"
"100",24,"F","Other","Less than 25","Low","Male",0,-1,3,0,0,"2013-04-08 08:55:48","2013-04-09 10:21:22",0,1,"F","Less than 25","Other","Male","LowScore"
"101",58,"F","Caucasian","Greater than 45","Low","Male",2,-1,3,0,0,"2013-02-22 07:47:53","2013-02-24 02:27:52",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"102",62,"F","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-01-05 04:35:31","2013-01-07 03:18:03",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"103",37,"F","Caucasian","25 - 45","Low","Male",5,-1,3,0,0,"2013-12-01 04:23:01","2013-12-12 03:25:01",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"104",32,"F","African-American","25 - 45","Low","Female",5,0,1,0,0,"2013-12-01 12:02:58","2013-12-01 09:53:20",0,1,"F","25 - 45","African-American","Female","LowScore"
"105",23,"F","Hispanic","Less than 25","Low","Male",0,-1,3,0,0,"2013-12-30 11:58:41","2014-02-14 10:05:11",0,1,"F","Less than 25","Hispanic","Male","LowScore"
"106",27,"M","African-American","25 - 45","Low","Male",0,0,1,0,0,"2013-04-08 12:40:45","2013-04-09 07:53:30",0,1,"M","25 - 45","African-American","Male","LowScore"
"107",42,"F","Caucasian","25 - 45","Low","Female",0,-3,2,0,0,"2013-05-25 04:27:15","2013-05-26 07:10:19",0,1,"F","25 - 45","Caucasian","Female","LowScore"
"108",27,"F","African-American","25 - 45","Low","Male",0,0,2,0,0,"2014-01-14 03:37:34","2014-01-31 09:03:48",0,1,"F","25 - 45","African-American","Male","LowScore"
"109",51,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2014-03-22 02:29:28","2014-03-23 09:07:31",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"110",56,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-12-11 03:02:20","2013-12-12 08:42:00",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"111",27,"F","Caucasian","25 - 45","Medium","Male",8,-1,5,0,0,"2013-02-21 07:20:51","2013-04-30 10:43:29",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"112",28,"F","Caucasian","25 - 45","Medium","Male",1,-4,5,0,0,"2014-02-27 04:28:02","2014-02-28 08:49:55",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"113",36,"M","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-12-22 08:25:20","2013-12-23 01:09:26",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"114",24,"F","African-American","Less than 25","Low","Male",0,-1,3,0,0,"2014-03-12 07:36:15","2014-03-13 01:26:58",0,1,"F","Less than 25","African-American","Male","LowScore"
"115",29,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0,"2014-03-01 02:42:35","2014-03-02 08:38:51",0,1,"F","25 - 45","African-American","Male","LowScore"
"116",51,"M","Hispanic","Greater than 45","Low","Male",1,-1,1,0,0,"2013-12-26 04:15:54","2013-12-27 07:50:46",0,1,"M","Greater than 45","Hispanic","Male","LowScore"
"117",47,"F","African-American","Greater than 45","Low","Male",3,0,3,0,0,"2013-03-25 03:26:29","2013-03-25 07:55:24",0,1,"F","Greater than 45","African-American","Male","LowScore"
"118",37,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,0,"2014-02-24 05:11:22","2014-03-15 05:53:52",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"119",39,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2013-11-26 06:08:42","2013-11-27 02:09:15",0,1,"M","25 - 45","Other","Male","LowScore"
"120",69,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-01-30 08:36:13","2013-01-31 07:20:04",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"121",22,"F","Caucasian","Less than 25","Low","Male",0,-2,4,0,0,"2013-12-07 01:04:19","2013-12-07 02:19:36",0,1,"F","Less than 25","Caucasian","Male","LowScore"
"122",49,"F","African-American","Greater than 45","Medium","Male",3,0,5,0,0,"2013-10-15 12:10:18","2013-10-19 05:47:48",0,1,"F","Greater than 45","African-American","Male","HighScore"
"123",60,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0,"2013-10-13 05:34:29","2013-10-14 02:36:01",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"124",20,"F","Other","Less than 25","Low","Female",1,-21,4,0,0,"2013-02-19 08:48:32","2013-02-22 07:41:48",0,1,"F","Less than 25","Other","Female","LowScore"
"125",36,"F","Hispanic","25 - 45","Low","Male",1,0,3,0,0,"2013-04-22 02:33:46","2013-07-26 05:05:36",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"126",30,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0,"2013-05-04 12:45:31","2013-05-06 08:53:01",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"127",34,"M","Caucasian","25 - 45","Low","Male",1,0,1,0,0,"2014-02-04 03:26:12","2014-02-04 08:29:18",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"128",53,"M","Caucasian","Greater than 45","Low","Female",1,-1,1,0,0,"2013-12-21 05:26:48","2013-12-22 01:41:48",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"129",24,"F","African-American","Less than 25","Low","Female",0,-1,4,0,0,"2013-12-13 03:13:07","2013-12-14 07:19:53",0,1,"F","Less than 25","African-American","Female","LowScore"
"130",42,"F","African-American","25 - 45","Low","Male",1,-12,1,0,0,"2013-05-31 04:44:14","2013-06-04 10:17:31",0,1,"F","25 - 45","African-American","Male","LowScore"
"131",28,"M","African-American","25 - 45","Low","Male",1,-1,3,0,0,"2013-04-02 12:18:46","2013-04-04 07:54:22",0,1,"M","25 - 45","African-American","Male","LowScore"
"132",35,"F","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-05-15 04:19:38","2013-05-20 09:26:57",0,1,"F","25 - 45","African-American","Male","HighScore"
"133",53,"F","African-American","Greater than 45","Low","Male",2,-1,1,0,0,"2013-08-06 07:34:06","2013-08-07 01:05:18",0,1,"F","Greater than 45","African-American","Male","LowScore"
"134",52,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2013-03-25 04:21:35","2013-03-25 08:42:53",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"135",33,"M","Caucasian","25 - 45","Low","Male",3,0,3,0,0,"2013-12-22 01:14:52","2013-12-22 07:48:32",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"136",28,"F","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2013-04-04 03:19:29","2013-04-06 12:28:11",0,1,"F","25 - 45","Hispanic","Female","LowScore"
"137",29,"F","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-04-04 11:24:09","2013-04-06 08:01:53",0,1,"F","25 - 45","African-American","Male","HighScore"
"138",25,"F","Caucasian","25 - 45","Low","Male",0,0,2,0,0,"2013-03-27 02:09:08","2013-03-27 06:55:04",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"139",56,"F","African-American","Greater than 45","Low","Male",5,-1,3,0,0,"2013-01-03 05:51:09","2013-01-15 07:43:49",0,1,"F","Greater than 45","African-American","Male","LowScore"
"140",32,"F","African-American","25 - 45","Low","Male",3,0,2,0,0,"2013-02-07 02:19:38","2013-02-08 05:35:52",0,1,"F","25 - 45","African-American","Male","LowScore"
"141",60,"F","Other","Greater than 45","Low","Male",4,-1,1,0,0,"2013-11-25 05:03:19","2013-11-26 08:38:12",0,1,"F","Greater than 45","Other","Male","LowScore"
"142",23,"M","Hispanic","Less than 25","Low","Male",1,-5,3,0,0,"2013-04-24 07:55:53","2013-04-29 12:20:11",0,1,"M","Less than 25","Hispanic","Male","LowScore"
"143",56,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-10-18 08:52:53","2013-10-19 08:16:43",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"144",21,"M","Hispanic","Less than 25","Low","Male",0,0,3,0,0,"2013-10-28 03:10:30","2013-10-28 07:42:27",0,1,"M","Less than 25","Hispanic","Male","LowScore"
"145",22,"F","Caucasian","Less than 25","Low","Male",0,-1,3,0,0,"2014-02-08 09:30:32","2014-02-10 08:41:20",0,1,"F","Less than 25","Caucasian","Male","LowScore"
"146",58,"M","Caucasian","Greater than 45","Low","Female",2,-23,1,0,0,"2013-04-06 08:22:37","2013-04-07 12:56:04",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"147",42,"F","Other","25 - 45","Low","Male",1,-1,1,0,0,"2013-09-14 06:17:52","2013-09-16 07:28:47",0,1,"F","25 - 45","Other","Male","LowScore"
"148",37,"F","Caucasian","25 - 45","Low","Male",0,0,4,0,0,"2013-01-18 05:11:46","2013-01-18 08:38:29",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"149",27,"M","Caucasian","25 - 45","Low","Male",3,-22,1,0,0,"2013-07-28 02:14:16","2013-07-28 02:01:46",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"150",26,"F","African-American","25 - 45","Low","Male",3,0,4,0,0,"2013-04-12 06:16:59","2013-05-15 07:34:15",0,1,"F","25 - 45","African-American","Male","LowScore"
"151",33,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,0,"2013-12-08 02:41:16","2013-12-09 08:36:04",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"152",36,"M","Caucasian","25 - 45","Low","Male",2,-1,1,0,0,"2013-10-14 07:59:18","2013-10-15 07:40:50",0,1,"M","25 - 45","Caucasian","Male","LowScore"
